Client Name,URL,Expected Provider,Detected Provider,Config,Status,Details,Active
Stevenson Hendrick Mazda,https://www.stevensonhendrickmazda.com/,,,STD,PASS,Perfect (Rule of 2),Yes
Stevenson-Hendrick Honda Jacksonville,https://www.stevensonhendrickhondajacksonville.com/,,,STD,PASS,Perfect (Rule of 2),Yes
Stevenson-Hendrick Toyota Jacksonville,https://www.stevensonhendricktoyota.com/,,,STD,PASS,Perfect (Rule of 2),Yes
Stokes Chevrolet of Moncks Corner,https://www.stokeschevy.com/,,,DCOM,PASS,Perfect (Rule of 1),Yes
Stokes Hodges Ford,https://www.stokeshodgesford.com/,,,STD,PASS,Perfect (Rule of 2),Yes
Stokes Hodges Kia,https://www.stokeshodgeskia.com/,,,STD,PASS,Perfect (Rule of 2),Yes
Stone Mountain Honda,https://www.hondaofstonemountain.com/,,,DCOM,PASS,Perfect (Rule of 1),Yes
Team Chevrolet GMC Salisbury,https://www.teamchevync.com/,,,STD,PASS,Perfect (Rule of 2),Yes
Team Chevrolet of Goldsboro,https://www.teamgoldsboro.com/,,,STD,PASS,Perfect (Rule of 2),Yes
Team Chevrolet of Swansboro,https://www.teamswansboro.com/,,,STD,PASS,Perfect (Rule of 2),Yes
Team Chrysler Dodge Ram of Morganton,https://www.teammorganton.com/,,,STD,PASS,Perfect (Rule of 2),Yes
Team Dodge Ram Fiat Myrtle Beach,https://www.teamdodgeramsc.com/,,,STD,PASS,Perfect (Rule of 2),Yes
Ted Russell Ford,https://www.tedrussellford.net/,,,STD,PASS,Perfect (Rule of 2),Yes
Ted Russell Lincoln,https://www.tedrusselllincoln.net/,,,DCOM,PASS,Perfect (Rule of 1),Yes
Terry Labonte Chevrolet,https://www.terrylabontechevy.com/,,,STD,PASS,Perfect (Rule of 2),Yes
Terry Lambert Hyundai,https://www.terrylamberthyundai.com/,,,STD,PASS,Perfect (DealerOn Rule of 1),Yes
Toyota Knoxville,https://www.toyotaknoxville.com/,,,STD,PASS,Perfect (Rule of 2),Yes
Toyota of Murfreesboro,https://www.toyotaofmurfreesboro.com/,,,STD,PASS,Perfect (Rule of 2),Yes
Toyota of Wilmington,https://www.toyotaofwilmington.com/,,,STD,PASS,Perfect (Rule of 2),Yes
Victory Chrysler Dodge Jeep Ram,https://www.victoryshallotte.com/,,,DCOM,PASS,Perfect (Rule of 1),Yes
Volkswagen of Murrieta,https://www.vwofmurrieta.com/,,,STD,PASS,Perfect (Rule of 2),Yes
Volunteer Auto Group,https://www.volauto.com/,,,DCOM,PASS,Perfect (Rule of 1),Yes
VW of Huntington,https://www.vwofhuntington.com/,,,DCOM,PASS,Perfect (Rule of 1),Yes
